Request ID,Group,Request Mode,Department,Subject,Created Time,Completed Time,Reason for Request,Last Update Time,Resolved Time
8029,IT Support,Web Form,Not Assigned,ADD TO IBD GROUP,11/17/2015 11:06,11/17/2015 12:22,Not Assigned,Not Assigned,11/17/2015 12:22
3085,CBS,Web Form,Not Assigned,CBS USER RIGHTS PROFILE FORM-TAUSI BARUANI,5/18/2015 15:06,5/18/2015 15:18,Not Assigned,5/18/2015 15:17,5/18/2015 15:18
6230,CBS,Web Form,Not Assigned,PASSWORD RESET,9/4/2015 13:29,9/4/2015 13:38,Not Assigned,9/4/2015 13:38,9/4/2015 13:38
8046,CBS,Web Form,Card,RE: USER RIGHT,11/17/2015 14:47,Not Assigned,Not Assigned,Not Assigned,Not Assigned
7990,CBS,Web Form,Not Assigned,PASSWORD RESET,11/16/2015 11:07,11/16/2015 11:25,Not Assigned,11/16/2015 11:25,11/16/2015 11:25
7989,IT Support,Web Form,Not Assigned,COMPUTERS RIGHTS-GLADNESS JOSEPH,11/16/2015 11:03,11/16/2015 11:55,Not Assigned,Not Assigned,11/16/2015 11:55
7991,IT Support,Web Form,Not Assigned,reset passowrd Agm secretray,11/16/2015 11:09,11/16/2015 12:49,Not Assigned,Not Assigned,11/16/2015 12:49
7939,IT Support,Not Assigned,Not Assigned,CONNECTIVITY OF   RECON  SHARED  FORDDER TO  ROSE  KANIJO,11/12/2015 11:21,Not Assigned,Not Assigned,11/13/2015 11:24,Not Assigned
7963,CBS,Web Form,Not Assigned,GL OPEN- P/L ON BOND TRADING (420008160),11/13/2015 10:54,11/17/2015 9:04,Not Assigned,11/13/2015 11:19,11/17/2015 9:04
7993,Network,Web Form,Not Assigned,Clear user  in Internet access-Maximum LOGIN LIMIT,11/16/2015 12:02,11/17/2015 9:15,Not Assigned,Not Assigned,11/17/2015 9:15
7968,IT Support,Web Form,Not Assigned,URGENTLY NEED A NETWORK CABLE FOR MEZANINE FLOOR TO PRINT,11/13/2015 13:19,11/13/2015 17:04,Not Assigned,Not Assigned,11/13/2015 17:04
7948,IT Support,Web Form,Not Assigned,MONEY GRAM LOG IN ERROR,11/12/2015 16:49,Not Assigned,Not Assigned,11/13/2015 11:03,Not Assigned
7946,IT Support,Web Form,Not Assigned,i can not access my sybrin,11/12/2015 15:59,11/13/2015 11:04,Not Assigned,11/12/2015 16:06,11/13/2015 11:04
7965,CBS,Web Form,Risk Department,PASSWORD RESET IN CBS,11/13/2015 12:37,11/13/2015 12:51,Not Assigned,11/13/2015 17:43,11/13/2015 12:51
8031,IT Support,Web Form,Not Assigned,"REQUEST TO ACCESS CBS, TAX BANK...",11/17/2015 11:51,Not Assigned,Not Assigned,Not Assigned,Not Assigned
8030,CBS,Web Form,Finance,unlock password,11/17/2015 11:49,11/17/2015 11:55,Not Assigned,11/17/2015 11:55,11/17/2015 11:55
7995,CBS,Web Form,Finance,RESET PASSWORD,11/16/2015 12:11,11/17/2015 11:57,Not Assigned,11/16/2015 13:04,11/17/2015 11:57
8036,IT Support,Web Form,Not Assigned,SMALL PRINTER-TOWER,11/17/2015 12:09,Not Assigned,Not Assigned,Not Assigned,Not Assigned
7997,IT Support,Web Form,Not Assigned,CONFIGURING NETWORK TO OUR NEW JOINER,11/16/2015 12:12,Not Assigned,Not Assigned,11/17/2015 12:13,Not Assigned
8034,IT Support,Web Form,Finance,EXTERNAL AUDITORS CONNECTIVITY,11/17/2015 12:08,Not Assigned,Not Assigned,Not Assigned,Not Assigned
7998,Network,Web Form,Finance,RESET INTERNET LOGIN,11/16/2015 12:26,Not Assigned,Not Assigned,11/17/2015 12:28,Not Assigned
8039,CBS,Web Form,Not Assigned,RE: UNBLOCK USER RIGHTS,11/17/2015 12:31,11/17/2015 12:42,Not Assigned,11/17/2015 12:42,11/17/2015 12:42
8035,CBS,Web Form,CENTRALIZED BACK OFFICE OPERATIONS,DISABLE USER RIGHTS OF NAOMI SILAYO AND NAZIRU SAIDI,11/17/2015 12:08,11/17/2015 12:43,Not Assigned,11/17/2015 12:43,11/17/2015 12:43
7922,IT Support,Web Form,Not Assigned,version 10 internet explorer,11/12/2015 8:35,Not Assigned,Not Assigned,11/13/2015 8:39,Not Assigned
7992,IT Support,Web Form,Not Assigned,Deal tickets not printing,11/16/2015 11:12,11/16/2015 13:03,Not Assigned,Not Assigned,11/16/2015 13:03
7967,IT Support,Web Form,Not Assigned,Mailbox full option to archive not there,11/13/2015 12:55,11/16/2015 9:07,Not Assigned,Not Assigned,11/16/2015 9:07
7772,CBS,Web Form,Not Assigned,UNLOCK USER,11/6/2015 15:22,11/9/2015 9:19,Not Assigned,11/9/2015 9:19,11/9/2015 9:19
7938,CBS,Web Form,Not Assigned,RE: ALLOW RIGHTS TO VIEW ACCOUNT,11/12/2015 10:55,11/12/2015 12:08,Not Assigned,11/12/2015 12:08,11/12/2015 12:08
7928,IT Support,Web Form,Not Assigned,UNBLOCK  ACTIVE DIRECTORY PASSWORD - JOSEPHC,11/12/2015 9:19,11/12/2015 12:50,Not Assigned,11/12/2015 12:50,11/12/2015 12:50
7996,CBS,Web Form,Not Assigned,ADDITIONAL RIGHTS FOR SYBRIN,11/16/2015 12:12,11/16/2015 13:04,Not Assigned,11/16/2015 13:04,11/16/2015 13:04
945,CBS,Web Form,Not Assigned,CANT VIEW MY STAFF ACCOUNT,3/18/2015 15:29,3/18/2015 15:48,Not Assigned,3/18/2015 15:48,3/18/2015 15:48
7970,CBS,Web Form,Not Assigned,GL PARAMETER OPENING - CASH WITHDRAW CHARGES- 420002040,11/13/2015 14:52,11/17/2015 9:02,Not Assigned,11/16/2015 15:07,11/17/2015 9:02
7949,IT Support,Web Form,Not Assigned,ERROR ON CTS-LOG ON,11/12/2015 16:56,11/16/2015 8:43,Not Assigned,11/12/2015 17:31,11/16/2015 8:43
7985,CBS,Web Form,Not Assigned,RE: UNBLOCK USER - SALMAMWA,11/16/2015 9:48,11/16/2015 9:53,Not Assigned,11/16/2015 9:53,11/16/2015 9:53
8041,IT Support,Web Form,Not Assigned,ACESS TO LOGIN ON DESK TOP AND EMAIL ADDRESS,11/17/2015 12:39,Not Assigned,Not Assigned,Not Assigned,Not Assigned
8032,CBS,Web Form,Not Assigned,OPENING OF GL's for MAKING REVERSALS,11/17/2015 11:54,Not Assigned,Not Assigned,Not Assigned,Not Assigned
8042,CBS,Not Assigned,Not Assigned,CBS RIGHTS FOR MILLE VIOLA T. SAWE,11/17/2015 12:58,Not Assigned,Not Assigned,Not Assigned,Not Assigned
2307,CBS,Web Form,Not Assigned,CTS and Workflow user creation,4/27/2015 11:38,4/27/2015 12:41,Not Assigned,4/27/2015 12:40,4/27/2015 12:41
7964,Network,Web Form,Not Assigned,BRANCH EXTENSION PHONE CONECTIVITY,11/13/2015 10:59,Not Assigned,Not Assigned,11/16/2015 11:02,Not Assigned
8044,IT Support,Web Form,Not Assigned,WORKFLOW ERROR,11/17/2015 13:34,11/17/2015 15:01,Not Assigned,Not Assigned,11/17/2015 15:01
8033,Network,Web Form,Retail Department,logout internet id,11/17/2015 11:59,Not Assigned,Not Assigned,Not Assigned,Not Assigned
8037,IT Support,Web Form,Not Assigned,Administration rights,11/17/2015 12:09,Not Assigned,Not Assigned,Not Assigned,Not Assigned
8038,CBS,Web Form,Not Assigned,UNBLOCK - WORKFLOW,11/17/2015 12:16,11/17/2015 12:29,Not Assigned,11/17/2015 12:28,11/17/2015 12:29
7980,CBS,Web Form,"Planning, Development and Operation Department",CBS PASSWORD RESET-LIBERAT MTUI,11/16/2015 9:17,11/16/2015 15:48,Not Assigned,11/16/2015 15:47,11/16/2015 15:48
7934,IT Support,Web Form,Not Assigned,SYBRIN ICONS NOT DISPLAYED,11/12/2015 10:19,11/12/2015 11:17,Not Assigned,Not Assigned,11/12/2015 11:17
7933,CBS,Web Form,Not Assigned,CHANGE OF USER RIGHTS ON CBS,11/12/2015 10:19,11/12/2015 12:08,Not Assigned,11/12/2015 12:08,11/12/2015 12:08
7971,IT Support,Web Form,Not Assigned,LOCKED CASE NUMBER 26862,11/13/2015 15:13,11/16/2015 12:31,Not Assigned,11/16/2015 11:58,11/16/2015 12:31
7766,IT Support,Web Form,Not Assigned,WORKFLOW UNLOCK REQUEST-KUYELA MSHAMA,11/6/2015 14:27,Not Assigned,Not Assigned,Not Assigned,Not Assigned
7936,IT Support,Web Form,Not Assigned,UNBLOCK THE PASSWORD,11/12/2015 10:37,11/12/2015 15:20,Not Assigned,Not Assigned,11/12/2015 15:20
7952,CBS,Web Form,Not Assigned,RIGHTS FOR BRANCH  SIGN IN AND OUT FOR MR TUMAINI MWAKAFWAGA,11/12/2015 18:50,11/17/2015 12:52,Not Assigned,11/13/2015 11:06,11/17/2015 12:52
7940,IT Support,Not Assigned,Not Assigned,CONNECTIVITY OF RECON SHARED FODDER,11/12/2015 11:30,Not Assigned,Not Assigned,Not Assigned,Not Assigned
7973,IT Support,Web Form,Not Assigned,FAILURE TO ACCESS SYBRIN-USER STELLA EDSON,11/13/2015 16:06,11/16/2015 9:02,Not Assigned,11/13/2015 16:52,11/16/2015 9:02
7972,IT Support,Web Form,Not Assigned,LOCKERS PC -USER STELLA EDSON,11/13/2015 15:55,11/16/2015 9:09,Not Assigned,Not Assigned,11/16/2015 9:09
7994,CBS,Not Assigned,CBS (Implementation Team) Department,CBS PASSWORD RESET,11/16/2015 12:10,11/16/2015 12:15,Not Assigned,11/16/2015 14:31,11/16/2015 12:15
7983,CBS,Web Form,Not Assigned,RESET CBS USER PASSWORD,11/16/2015 9:31,11/16/2015 9:47,Not Assigned,11/16/2015 9:47,11/16/2015 9:47
1493,CBS,Web Form,Not Assigned,PASSWORD RESET EPHRAIMK,4/2/2015 11:35,4/2/2015 11:55,Not Assigned,4/2/2015 11:55,4/2/2015 11:55
2452,CBS,Web Form,Not Assigned,ERROR LOGGIN ON CTS,4/30/2015 10:35,4/30/2015 10:51,Not Assigned,4/30/2015 10:49,4/30/2015 10:51
8006,IT Support,Web Form,Credit Monitoring & Recovery Department,PC LOGIN,11/16/2015 16:01,11/17/2015 11:52,Not Assigned,Not Assigned,11/17/2015 11:52
7953,Network,Web Form,Not Assigned,Exim Bank Internet Access password reset,11/13/2015 8:39,Not Assigned,Not Assigned,11/16/2015 8:42,Not Assigned
8002,CBS,Web Form,Credit Origination Department,Password Reset,11/16/2015 15:22,Not Assigned,Not Assigned,11/16/2015 15:24,Not Assigned
8045,IT Support,Web Form,Not Assigned,UNLOCK USER IN SYBRIN,11/17/2015 13:39,Not Assigned,Not Assigned,Not Assigned,Not Assigned
8043,CBS,Web Form,Not Assigned,CHANGE BRANCH,11/17/2015 13:14,11/17/2015 15:10,Not Assigned,11/17/2015 14:35,11/17/2015 15:10
7986,CBS,Web Form,Not Assigned,kindly assist to unlock sybrine client password,11/16/2015 10:13,11/16/2015 10:17,Not Assigned,11/16/2015 10:17,11/16/2015 10:17
7654,CBS,Web Form,Not Assigned,FORGOTTEN PASSWORD,11/2/2015 13:58,11/2/2015 14:13,Not Assigned,11/2/2015 14:13,11/2/2015 14:13
7975,CBS,Web Form,Not Assigned,USER RIGHT FOR TELLER,11/14/2015 8:44,11/16/2015 9:47,Not Assigned,11/16/2015 9:47,11/16/2015 9:47
7619,IT Support,Web Form,Not Assigned,UNLOCK MAULID JUMA,10/30/2015 14:13,10/30/2015 15:06,Not Assigned,10/30/2015 15:06,10/30/2015 15:06
7999,CBS,Web Form,Not Assigned,USER RIGHTS,11/16/2015 13:29,11/16/2015 14:35,Not Assigned,11/16/2015 14:35,11/16/2015 14:35
7621,CBS,Web Form,Not Assigned,UNLOCK USER,10/30/2015 15:52,10/30/2015 16:16,Not Assigned,10/30/2015 16:16,10/30/2015 16:16
7622,CBS,Web Form,Not Assigned,UNLOCK USER,10/30/2015 15:54,10/30/2015 16:17,Not Assigned,10/30/2015 16:17,10/30/2015 16:17
7632,CBS,Web Form,Not Assigned,UNLOCK USER MWANAMSA ON CTS / WORK FLOW,11/2/2015 8:53,11/2/2015 9:35,Not Assigned,11/2/2015 9:35,11/2/2015 9:35
7649,CBS,Web Form,"Planning, Development and Operation Department",USER RIGHTS FOR SALARY AUTH,11/2/2015 12:37,11/2/2015 13:06,Not Assigned,11/2/2015 13:06,11/2/2015 13:06
7696,CBS,Web Form,Not Assigned,PASSWORD RESET,11/3/2015 14:03,11/3/2015 17:38,Not Assigned,11/3/2015 17:38,11/3/2015 17:38
8003,CBS,Web Form,Not Assigned,"USER LOCKED, CBS",11/16/2015 15:24,11/16/2015 15:26,Not Assigned,11/16/2015 15:26,11/16/2015 15:26
8001,IT Support,Web Form,Not Assigned,TT PROBLEM,11/16/2015 14:44,11/16/2015 17:07,Not Assigned,11/16/2015 17:07,11/16/2015 17:07
7955,IT Support,Web Form,Not Assigned,Email access to Mr. Frank Mbogo,11/13/2015 9:49,11/13/2015 12:21,Not Assigned,11/13/2015 11:21,11/13/2015 12:21
7769,IT Support,Web Form,Not Assigned,EXTRACTION FILE NOT SEEN ON CBS,11/6/2015 15:15,Not Assigned,Not Assigned,Not Assigned,Not Assigned
7957,IT Support,Web Form,Retail Department,UNLOCK ORPAHK,11/13/2015 10:08,11/13/2015 10:21,Not Assigned,Not Assigned,11/13/2015 10:21
7787,CBS,Web Form,CBO,ASSIST TO UNLOCK USER RIGHTS-CBS,11/9/2015 8:17,11/9/2015 8:22,Not Assigned,11/9/2015 8:22,11/9/2015 8:22
7792,CBS,Web Form,Not Assigned,unblock and reset user rights- Simon Challe,11/9/2015 9:56,11/9/2015 10:08,Not Assigned,11/9/2015 10:18,11/9/2015 10:08
7791,IT Support,Web Form,Not Assigned,PC,11/9/2015 9:24,11/9/2015 10:40,Not Assigned,Not Assigned,11/9/2015 10:40
7738,CBS,Web Form,Finance,GLs opening,11/4/2015 17:50,11/9/2015 9:19,Not Assigned,11/9/2015 9:19,11/9/2015 9:19
7747,Network,Web Form,Not Assigned,Call center computers problem,11/6/2015 9:33,Not Assigned,Not Assigned,Not Assigned,Not Assigned
7748,CBS,Web Form,Not Assigned,ACTING CHIEF CASHIER'S RIGHTS- GLADNESS CHUWA,11/6/2015 9:48,11/6/2015 10:04,Not Assigned,11/6/2015 10:49,11/6/2015 10:04
7728,IT Support,Web Form,Not Assigned,NEW LAPTOP FOR OUR NEW BM,11/4/2015 11:34,Not Assigned,Not Assigned,11/4/2015 16:36,Not Assigned
